full-supervised.py --data film --layer 2 --weight_decay 1e-3 --model GCNII --variant --hidden 16 --dropout 0 --variant
Epoch:0001 train loss:1.597 acc:26.04 | val loss:1.593 acc:25.82
Epoch:0002 train loss:1.594 acc:26.04 | val loss:1.590 acc:25.82
Epoch:0003 train loss:1.592 acc:26.04 | val loss:1.588 acc:25.82
Epoch:0004 train loss:1.590 acc:26.04 | val loss:1.585 acc:25.82
Epoch:0005 train loss:1.588 acc:26.04 | val loss:1.583 acc:25.82
Epoch:0006 train loss:1.586 acc:26.04 | val loss:1.580 acc:25.82
Epoch:0007 train loss:1.584 acc:26.04 | val loss:1.578 acc:25.82
Epoch:0008 train loss:1.582 acc:26.04 | val loss:1.576 acc:25.82
Epoch:0009 train loss:1.580 acc:26.04 | val loss:1.573 acc:25.82
Epoch:0010 train loss:1.578 acc:26.04 | val loss:1.571 acc:25.82
Epoch:0011 train loss:1.576 acc:26.04 | val loss:1.569 acc:25.82
Epoch:0012 train loss:1.575 acc:26.04 | val loss:1.567 acc:25.82
Epoch:0013 train loss:1.573 acc:26.04 | val loss:1.565 acc:25.82
Epoch:0014 train loss:1.572 acc:26.04 | val loss:1.563 acc:25.82
Epoch:0015 train loss:1.570 acc:26.04 | val loss:1.562 acc:25.82
Epoch:0016 train loss:1.569 acc:26.04 | val loss:1.560 acc:25.82
Epoch:0017 train loss:1.567 acc:26.04 | val loss:1.558 acc:25.82
Epoch:0018 train loss:1.566 acc:26.04 | val loss:1.557 acc:25.90
Epoch:0019 train loss:1.564 acc:26.12 | val loss:1.555 acc:25.95
Epoch:0020 train loss:1.562 acc:26.10 | val loss:1.552 acc:26.11
Epoch:0021 train loss:1.559 acc:26.12 | val loss:1.550 acc:26.23
Epoch:0022 train loss:1.556 acc:26.21 | val loss:1.547 acc:26.27
Epoch:0023 train loss:1.553 acc:26.34 | val loss:1.544 acc:26.44
Epoch:0024 train loss:1.549 acc:26.45 | val loss:1.540 acc:26.73
Epoch:0025 train loss:1.544 acc:26.81 | val loss:1.536 acc:27.01
Epoch:0026 train loss:1.538 acc:27.36 | val loss:1.531 acc:27.59
Epoch:0027 train loss:1.532 acc:28.02 | val loss:1.525 acc:27.92
Epoch:0028 train loss:1.525 acc:28.29 | val loss:1.519 acc:28.58
Epoch:0029 train loss:1.517 acc:29.36 | val loss:1.512 acc:29.98
Epoch:0030 train loss:1.509 acc:30.56 | val loss:1.504 acc:30.96
Epoch:0031 train loss:1.499 acc:31.39 | val loss:1.496 acc:32.15
Epoch:0032 train loss:1.488 acc:32.21 | val loss:1.488 acc:32.57
Epoch:0033 train loss:1.477 acc:33.58 | val loss:1.479 acc:33.39
Epoch:0034 train loss:1.465 acc:34.16 | val loss:1.470 acc:33.96
Epoch:0035 train loss:1.452 acc:34.27 | val loss:1.462 acc:34.66
Epoch:0036 train loss:1.440 acc:34.92 | val loss:1.455 acc:35.16
Epoch:0037 train loss:1.427 acc:35.39 | val loss:1.448 acc:34.91
Epoch:0038 train loss:1.415 acc:35.80 | val loss:1.442 acc:35.03
Epoch:0039 train loss:1.404 acc:36.16 | val loss:1.438 acc:35.40
Epoch:0040 train loss:1.394 acc:37.17 | val loss:1.433 acc:35.57
Epoch:0041 train loss:1.385 acc:37.06 | val loss:1.431 acc:36.76
Epoch:0042 train loss:1.376 acc:38.27 | val loss:1.427 acc:36.51
Epoch:0043 train loss:1.368 acc:38.43 | val loss:1.425 acc:36.80
Epoch:0044 train loss:1.360 acc:38.95 | val loss:1.421 acc:36.84
Epoch:0045 train loss:1.353 acc:38.82 | val loss:1.419 acc:37.46
Epoch:0046 train loss:1.346 acc:39.53 | val loss:1.415 acc:37.17
Epoch:0047 train loss:1.340 acc:39.36 | val loss:1.412 acc:37.71
Epoch:0048 train loss:1.334 acc:40.24 | val loss:1.409 acc:37.01
Epoch:0049 train loss:1.329 acc:40.90 | val loss:1.406 acc:37.13
Epoch:0050 train loss:1.324 acc:40.93 | val loss:1.404 acc:37.09
Epoch:0051 train loss:1.319 acc:41.28 | val loss:1.401 acc:37.01
Epoch:0052 train loss:1.315 acc:41.04 | val loss:1.399 acc:38.03
Epoch:0053 train loss:1.311 acc:41.89 | val loss:1.397 acc:37.38
Epoch:0054 train loss:1.308 acc:41.20 | val loss:1.395 acc:38.24
Epoch:0055 train loss:1.305 acc:41.67 | val loss:1.394 acc:37.42
Epoch:0056 train loss:1.302 acc:41.53 | val loss:1.392 acc:37.91
Epoch:0057 train loss:1.299 acc:42.13 | val loss:1.391 acc:37.75
Epoch:0058 train loss:1.296 acc:42.43 | val loss:1.390 acc:37.79
Epoch:0059 train loss:1.294 acc:41.89 | val loss:1.389 acc:38.20
Epoch:0060 train loss:1.291 acc:43.06 | val loss:1.389 acc:38.20
Epoch:0061 train loss:1.289 acc:42.46 | val loss:1.388 acc:38.40
Epoch:0062 train loss:1.286 acc:42.98 | val loss:1.387 acc:38.40
Epoch:0063 train loss:1.284 acc:43.04 | val loss:1.386 acc:38.45
Epoch:0064 train loss:1.282 acc:42.76 | val loss:1.386 acc:38.57
Epoch:0065 train loss:1.280 acc:42.96 | val loss:1.386 acc:38.53
Epoch:0066 train loss:1.278 acc:42.60 | val loss:1.385 acc:38.40
Epoch:0067 train loss:1.277 acc:43.09 | val loss:1.385 acc:38.36
Epoch:0068 train loss:1.275 acc:42.82 | val loss:1.385 acc:38.45
