full-supervised.py --data wisconsin --layer 16 --lamda 1 --weight_decay 5e-4 --model GCNII
Epoch:0001 train loss:1.616 acc:5.83 | val loss:1.594 acc:25.00
Epoch:0002 train loss:1.596 acc:35.83 | val loss:1.575 acc:25.00
Epoch:0003 train loss:1.575 acc:40.00 | val loss:1.552 acc:48.75
Epoch:0004 train loss:1.556 acc:44.17 | val loss:1.523 acc:62.50
Epoch:0005 train loss:1.530 acc:44.17 | val loss:1.491 acc:61.25
Epoch:0006 train loss:1.501 acc:47.50 | val loss:1.456 acc:52.50
Epoch:0007 train loss:1.478 acc:50.83 | val loss:1.420 acc:51.25
Epoch:0008 train loss:1.428 acc:49.17 | val loss:1.386 acc:51.25
Epoch:0009 train loss:1.387 acc:44.17 | val loss:1.355 acc:51.25
Epoch:0010 train loss:1.399 acc:40.83 | val loss:1.332 acc:51.25
Epoch:0011 train loss:1.364 acc:43.33 | val loss:1.317 acc:51.25
Epoch:0012 train loss:1.341 acc:45.00 | val loss:1.311 acc:51.25
Epoch:0013 train loss:1.332 acc:41.67 | val loss:1.308 acc:51.25
Epoch:0014 train loss:1.349 acc:44.17 | val loss:1.307 acc:51.25
Epoch:0015 train loss:1.326 acc:43.33 | val loss:1.305 acc:51.25
Epoch:0016 train loss:1.309 acc:44.17 | val loss:1.301 acc:51.25
Epoch:0017 train loss:1.313 acc:40.83 | val loss:1.296 acc:51.25
Epoch:0018 train loss:1.297 acc:43.33 | val loss:1.290 acc:51.25
Epoch:0019 train loss:1.297 acc:43.33 | val loss:1.284 acc:51.25
Epoch:0020 train loss:1.287 acc:45.00 | val loss:1.279 acc:51.25
Epoch:0021 train loss:1.273 acc:45.00 | val loss:1.275 acc:51.25
Epoch:0022 train loss:1.267 acc:45.83 | val loss:1.272 acc:52.50
Epoch:0023 train loss:1.262 acc:49.17 | val loss:1.267 acc:55.00
Epoch:0024 train loss:1.262 acc:49.17 | val loss:1.262 acc:56.25
Epoch:0025 train loss:1.244 acc:51.67 | val loss:1.256 acc:56.25
Epoch:0026 train loss:1.243 acc:51.67 | val loss:1.249 acc:57.50
Epoch:0027 train loss:1.236 acc:54.17 | val loss:1.241 acc:60.00
Epoch:0028 train loss:1.223 acc:55.00 | val loss:1.232 acc:61.25
Epoch:0029 train loss:1.224 acc:57.50 | val loss:1.222 acc:61.25
Epoch:0030 train loss:1.213 acc:55.83 | val loss:1.212 acc:62.50
Epoch:0031 train loss:1.192 acc:58.33 | val loss:1.201 acc:62.50
Epoch:0032 train loss:1.201 acc:55.83 | val loss:1.192 acc:65.00
Epoch:0033 train loss:1.158 acc:60.00 | val loss:1.183 acc:63.75
Epoch:0034 train loss:1.160 acc:57.50 | val loss:1.174 acc:66.25
Epoch:0035 train loss:1.165 acc:57.50 | val loss:1.167 acc:68.75
Epoch:0036 train loss:1.147 acc:63.33 | val loss:1.160 acc:68.75
Epoch:0037 train loss:1.108 acc:62.50 | val loss:1.151 acc:68.75
Epoch:0038 train loss:1.116 acc:63.33 | val loss:1.138 acc:70.00
Epoch:0039 train loss:1.110 acc:65.00 | val loss:1.122 acc:68.75
Epoch:0040 train loss:1.071 acc:66.67 | val loss:1.106 acc:68.75
Epoch:0041 train loss:1.053 acc:65.00 | val loss:1.091 acc:68.75
Epoch:0042 train loss:1.068 acc:65.00 | val loss:1.077 acc:68.75
Epoch:0043 train loss:1.065 acc:60.83 | val loss:1.064 acc:68.75
Epoch:0044 train loss:1.044 acc:67.50 | val loss:1.052 acc:68.75
Epoch:0045 train loss:0.986 acc:68.33 | val loss:1.041 acc:68.75
Epoch:0046 train loss:0.970 acc:65.00 | val loss:1.032 acc:68.75
Epoch:0047 train loss:0.975 acc:62.50 | val loss:1.022 acc:68.75
Epoch:0048 train loss:0.996 acc:64.17 | val loss:1.012 acc:68.75
Epoch:0049 train loss:0.968 acc:66.67 | val loss:1.000 acc:68.75
Epoch:0050 train loss:0.934 acc:65.83 | val loss:0.990 acc:68.75
Epoch:0051 train loss:0.930 acc:68.33 | val loss:0.977 acc:68.75
Epoch:0052 train loss:0.907 acc:68.33 | val loss:0.965 acc:68.75
Epoch:0053 train loss:0.889 acc:66.67 | val loss:0.955 acc:68.75
Epoch:0054 train loss:0.908 acc:67.50 | val loss:0.946 acc:68.75
Epoch:0055 train loss:0.891 acc:69.17 | val loss:0.938 acc:68.75
Epoch:0056 train loss:0.860 acc:68.33 | val loss:0.933 acc:68.75
Epoch:0057 train loss:0.851 acc:66.67 | val loss:0.928 acc:70.00
Epoch:0058 train loss:0.825 acc:69.17 | val loss:0.926 acc:68.75
Epoch:0059 train loss:0.814 acc:67.50 | val loss:0.915 acc:70.00
Epoch:0060 train loss:0.805 acc:65.83 | val loss:0.902 acc:68.75
Epoch:0061 train loss:0.812 acc:70.83 | val loss:0.892 acc:68.75
Epoch:0062 train loss:0.786 acc:68.33 | val loss:0.885 acc:70.00
Epoch:0063 train loss:0.834 acc:65.00 | val loss:0.878 acc:70.00
Epoch:0064 train loss:0.795 acc:70.00 | val loss:0.871 acc:70.00
Epoch:0065 train loss:0.783 acc:70.00 | val loss:0.868 acc:68.75
Epoch:0066 train loss:0.751 acc:72.50 | val loss:0.869 acc:70.00
Epoch:0067 train loss:0.762 acc:71.67 | val loss:0.866 acc:70.00
Epoch:0068 train loss:0.776 acc:69.17 | val loss:0.857 acc:68.75
Epoch:0069 train loss:0.778 acc:70.83 | val loss:0.846 acc:70.00
Epoch:0070 train loss:0.771 acc:69.17 | val loss:0.839 acc:70.00
Epoch:0071 train loss:0.714 acc:71.67 | val loss:0.834 acc:70.00
Epoch:0072 train loss:0.715 acc:75.00 | val loss:0.831 acc:70.00
Epoch:0073 train loss:0.731 acc:70.83 | val loss:0.828 acc:70.00
Epoch:0074 train loss:0.685 acc:75.83 | val loss:0.829 acc:70.00
Epoch:0075 train loss:0.712 acc:69.17 | val loss:0.829 acc:70.00
Epoch:0076 train loss:0.693 acc:71.67 | val loss:0.824 acc:70.00
Epoch:0077 train loss:0.685 acc:72.50 | val loss:0.820 acc:70.00
Epoch:0078 train loss:0.703 acc:74.17 | val loss:0.815 acc:70.00
Epoch:0079 train loss:0.646 acc:77.50 | val loss:0.810 acc:71.25
Epoch:0080 train loss:0.659 acc:73.33 | val loss:0.807 acc:71.25
Epoch:0081 train loss:0.656 acc:77.50 | val loss:0.806 acc:71.25
Epoch:0082 train loss:0.662 acc:75.00 | val loss:0.805 acc:71.25
Epoch:0083 train loss:0.645 acc:76.67 | val loss:0.810 acc:71.25
